Organization,Gift Year,Gift Amount,Org-reported mission statement,Website,Org-reported geographies of service,Org-reported focus areas
"Center for Law and Social Policy","2022","$10000000","CLASP is a national, nonpartisan, anti-poverty nonprofit advancing policy solutions to improve the lives of people with low incomes. We develop practical yet visionary strategies for reducing poverty, promoting economic opportunity, and addressing institutional and racial barriers faced by people of color.","https://www.clasp.org/","United States","Livelihoods and workforce development; Race and ethnicity"
"Center for Policing Equity","2020","$25000000","To end disparities in law enforcement by facilitating, aggregating and disseminating research on racial bias in policing.","https://policingequity.org/","Connecticut, US; United States","Bridging divides; Incarceration and justice system involvement; Race and ethnicity; Public health, public health infrastructure; Human rights"
"Center for Rural Strategies","2022","$3000000","Working for smarter, greener, more inclusive rural communities.","https://www.ruralstrategies.org/","United States","Bridging divides; Civic and social engagement; Democracy"
"Center for Science in the Public Interest","2022","$15000000","The Center for Science in the Public Interest is your food and health watchdog. CSPI envisions a healthy population with reduced impact and burden of preventable diseases and an equitable food system that makes healthy, sustainable food accessible to all. CSPI values independence, scientific rigor, and transparency.","https://www.cspinet.org/","Northeast, US; West, US; United States","Civic and social engagement; Climate change; Chronic diseases; Nutrition and food security; Public health, public health infrastructure"
"Center for Tech and Civic Life","2021","Disclosure delayed for benefit of recipient","We connect Americans with the information they need to become and remain civically engaged, and ensure that our elections are more professional, inclusive, and secure.","https://www.techandciviclife.org/","United States","Civic and social engagement; Democracy; Regrantor"
"Center of Life","2021","$1500000","Providing people with the life-skills, training, resources and opportunities that will make them strong and will enable them to make their communities strong.","https://www.centeroflife.net/","Pennsylvania, US; Allegheny County, PA; Pittsburgh, PA","Creative youth development; Performing arts; Bridging divides; Livelihoods and workforce development; Elementary, secondary education"
"Centering Healthcare Institute","2020","Disclosure delayed for benefit of recipient","The mission of Centering Healthcare Institute is to improve health, transform care, and disrupt inequitable systems through the Centering group model.","https://www.centeringhealthcare.org/","United States","Bridging divides; Early learning; Race and ethnicity; Child development and welfare; Maternal and perinatal health"
"CenterLink: The Community of LGBT Centers","2022","$2000000","CenterLink strengthens, supports, and connects LGBTQ community centers.","https://www.lgbtcenters.org/","North America; Canada; United States","Regrantor; Nonprofit sector strengthening"
"Central California Food Bank","2020","Disclosure delayed for benefit of recipient","Central California Food Bank fights hunger by gathering and distributing food, engaging in partnerships that advance self-sufficiency, and by providing community leadership on issues related to hunger.","https://ccfoodbank.org","Fresno County, CA; Kings County, CA; Tulare County, CA","Nutrition and food security"
"CFLeads","2021","$5000000","Our mission is to help community foundations build strong communities by advancing effective practices, sharing knowledge and galvanizing action on critical issues of our time.","https://cfleads.org/","Latin America & Caribbean; North America; United States","Philanthropic sector strengthening"
"Chaffey College","2021","$25000000","Chaffey College improves lives and our communities through education with a steadfast commitment to equity and innovation to empower our diverse students who learn and thrive through excellent career, transfer, and workforce education programs that advance economic and social mobility for all.","https://www.chaffey.edu/","California, US; San Bernardino County, CA","Postsecondary, tertiary education; Vocational education"
"CHANGE Philanthropy","2021","Disclosure delayed for benefit of recipient","CHANGE Philanthropy is a coalition of philanthropic networks working together to strengthen bridges across funders and communities. We are transforming philanthropy from within by building knowledge, fostering diversity, and creating connections.","https://changephilanthropy.org/","United States","Race and ethnicity; Nonprofit sector strengthening"
"ChangeLab Solutions","2022","$8000000","ChangeLab Solutions works across the nation to advance equitable laws and policies that ensure healthy lives for all.","https://www.changelabsolutions.org/","Midwest, US; Northeast, US; West, US","Democracy; Access to housing and housing development; Race and ethnicity; Public health, public health infrastructure; Nonprofit sector strengthening"
"Charity Navigator","2021","$5000000","Make impactful giving easier for all","https://www.charitynavigator.org/","North America; United States","Bridging divides; Philanthropic sector strengthening; Nonprofit sector strengthening"
"Charles H. Wright Museum of African American History","2021","Disclosure delayed for benefit of recipient","The Charles H. Wright Museum of African American History opens minds and changes lives through the exploration and celebration of African American history and culture and its profound impact on diverse populations around the globe.","https://www.thewright.org/","Macomb County, MI; Oakland County, MI; Wayne County, MI","Museums; Bridging divides; Youth development; Environmental justice; Race and ethnicity"
"Charles R. Drew University of Medicine and Science","2022","$20000000","Charles R. Drew University of Medicine and Science is a private, non-profit, student-centered University that is committed to cultivating diverse health professional leaders who are dedicated to social justice and health equity for under-served populations through outstanding education, research, clinical service, and community engagement.","https://www.cdrewu.edu/","North America; California, US; Los Angeles County, CA","Livelihoods and workforce development; Postsecondary, tertiary education; Race and ethnicity; Access to healthcare; Public health, public health infrastructure"
"Charter School Growth Fund","2022","Disclosure delayed for benefit of recipient","The Charter School Growth Fund identifies the country's best public charter schools, funds their expansion, and helps to increase their impact. We're driven by a conviction that all children deserve great public schools in their communities.","https://chartergrowthfund.org/","United States","Elementary, secondary education; Postsecondary, tertiary education; Vocational education; Race and ethnicity; Fund"
"Cherokee Youth Center","2022","Disclosure delayed for benefit of recipient","To enable all young people, especially those who need us most, to reach their full potential as productive, caring, and responsible citizens.","https://www.cherokeeyouthcenter.com/","Cherokee, NC; Eastern Band of Cherokee Indians Reservation, NC; Qualla Boundary, NC","Creative youth development; Cultural awareness; Youth development; Child development and welfare"
"Chicago Community Loan Fund (CCLF)","2021","$10000000","The mission of the Chicago Community Loan Fund is to provide flexible, affordable and responsible financing and technical assistance for community stabilization and development efforts and initiatives that benefit low- to moderate-income neighborhoods, families and individuals throughout metropolitan Chicago.","https://cclfchicago.org/","Chicago, IL; Illinois, US","Livelihoods and workforce development"
"Chicago Public Schools","2022","$25000000","To provide a high-quality public education for every child, in every neighborhood, that prepares each for success in college, career, and civic life.","https://www.cps.edu/","Chicago, IL","Elementary, secondary education"
"Chicago Urban League","2022","$6600000","The Chicago Urban League works to achieve equity for Black families and communities through social and economic empowerment.","https://www.chiul.org/","Chicago, IL; Cook County, IL","Financial inclusion; Youth development; Race and ethnicity; Access to healthcare; Nonprofit sector strengthening"
"Chicago's Cultural Treasures","2021","$8000000","IFF is a mission-driven lender, developer, and consultant that helps communities thrive. Across the Midwest, we work at the nexus of facilities and finance to help nonprofits and other service providers to create safe, inspiring spaces that enable them to achieve their missions and support their communities.","https://chicagosculturaltreasures.org/","Illinois, US; Midwest, US; Michigan, US","Nonprofit sector strengthening"
"Chief Dull Knife College","2020","$1000000","Chief Dull Knife College is a community based, land grant, and tribally controlled community college established to provide quality educational opportunities to residents of the Northern Cheyenne Reservation and surrounding communities. Inspired by Chief Dull Knife’s determination, our mission is to provide Northern Cheyenne culturally influenced education through quality life-long learning opportunities.","https://www.cdkc.edu","Northern Cheyenne Indian Reservation, MT","Livelihoods and workforce development; Postsecondary, tertiary education; Race and ethnicity"
"Child in Need Institute (CINI)","2021","$1250000","To ensure that children and adolescents achieve their rights to health, nutrition, education, protection and participation by making duty bearers and communities responsive to their well being","https://www.cini-india.org/","South Asia; India","Elementary, secondary education; Climate change; Access to healthcare; Mental and behavioral health; Sexual and reproductive health and justice"
"Child Mind Institute","2021","$20000000","The Child Mind Institute transforms the lives of children and families struggling with mental health disorders by giving them the help they need to thrive. We provide gold-standard evidence-based care, deliver educational resources to millions of families each year, train educators in underserved communities, and are developing tomorrow's breakthrough treatments.","https://childmind.org/","Greece; New York, NY; San Mateo , CA","Disability; Mental and behavioral health"
"Child Trends","2022","$10000000","Child Trends improves the lives and prospects of children and youth by conducting high-quality research and sharing the resulting knowledge with policymakers and practitioners.","https://www.childtrends.org/","United States","Early learning; Elementary, secondary education; Youth development; Child development and welfare; Sexual and reproductive health and justice"
"Children's Defense Fund","2021","$20000000","Children's Defense Fund envisions a nation where marginalized children flourish, leaders prioritize their well-being, and communities wield the power to ensure they thrive.","https://www.childrensdefense.org/","United States","Civic and social engagement; Early learning; Youth development; Race and ethnicity; Child development and welfare"
"Children's Home Society of North Carolina","2022","$8000000","To promote the right of every child to a permanent, safe and loving family.","https://www.chsnc.org/","North Carolina, US","Bridging divides; Youth development; Child development and welfare; Mental and behavioral health"
"Children's Home Society of Washington","2022","$8000000","Our mission is to develop healthy children, create strong families, build engaged communities, and speak and advocate for children.","https://www.childrenshomesociety.org/","United States; Washington, US","Financial inclusion; Early learning; Child development and welfare; Mental and behavioral health; Nonprofit sector strengthening"
"Chinatown Community Development Center","2021","Disclosure delayed for benefit of recipient","The Mission of the Chinatown Community Development Center is to build community and enhance the quality of life for San Francisco residents. We are a place-based community development organization serving primarily the Chinatown neighborhood, and also serve other areas including North Beach and the Tenderloin.","https://www.chinatowncdc.org/","San Francisco, CA","Civic and social engagement; Access to housing and housing development; Economic development; Youth development; Race and ethnicity"
"Chinese for Affirmative Action (dba Asian Americans for Civil Rights and Equality)","2021","Disclosure delayed for benefit of recipient","The Asian Americans for Civil Rights and Equality (AACRE) network focuses on long-term movement building, capacity infrastructure, and leadership support for Asian Americans and Pacific Islanders committed to social justice. We connect communities, ideas, and action to inspire positive change.","https://www.caasf.org","United States","Civic and social engagement; Immigration or migration; Incarceration and justice system involvement; Race and ethnicity; Sexual orientation"
"Chinese-American Planning Council","2022","Disclosure delayed for benefit of recipient","The Chinese-American Planning Council's mission is to promote the social and economic empowerment of Chinese American, immigrant, and low-income communities by providing social services that create positive social change and that ensure individuals and families achieve goals in their education, family, community, and career.","https://www.cpc-nyc.org/","New York, US; New York, NY","Early learning; Youth development; Aging; Immigration or migration; Access to healthcare"
"Chipola Area Habitat for Humanity","2022","$1000000","Chipola Area HFH brings people together from all walks of life to build homes, community and hope.","https://www.chipolahabitat.org/","Florida, US; Jackson County, FL; Washington County, FL","Bridging divides; Access to housing and housing development; Financial inclusion; Livelihoods and workforce development; Race and ethnicity"
"Choose Love","2022","Disclosure delayed for benefit of recipient","Our mission at Choose Love is to do whatever it takes to identify, prevent, and close gaps in services for refugees and displaced people. We raise funds in order to support community-based organizations that provide life-saving humanitarian assistance, address basic human needs, and promote long-term solutions for people uprooted from their homes.","https://chooselove.org/","Europe & Central Asia; Middle East & North Africa; North America","Immigration or migration; Fund; Nonprofit sector strengthening"
"Choose Love - Ukraine relief efforts","2022","$3000000","Our mission is to do whatever it takes to identify, close and prevent gaps in services and protections for refugees and displaced people. We work fast, flexibly and creatively to provide what is needed. Prioritising local knowledge and lived experience, we partner with the most effective community-based organisations working along key migration routes.","https://chooselove.org/","Europe & Central Asia; Middle East & North Africa; North America","Immigration or migration; Regrantor; Humanitarian assistance and relief; Human rights; Nonprofit sector strengthening"
"Citizen Schools","2022","$8000000","Our mission is to help all students thrive in school and beyond through hands-on learning and career mentors","https://www.citizenschools.org/","Massachusetts, US; New York, US; California, US","Livelihoods and workforce development; Elementary, secondary education; Youth development; Nonprofit sector strengthening"
"City Year","2021","$25000000","City Year's mission is to advance educational equity by supporting students furthest from opportunity and to develop diverse leaders through national service who can work across lines of difference.","https://www.cityyear.org","United Kingdom; United States; South Africa","Bridging divides; Civic and social engagement; Elementary, secondary education; Postsecondary, tertiary education; Youth development"
"Claflin University","2020","$20000000","To prepare students for roles as informed citizens and responsible criminal justice professionals in a global society. Student Learning Outcomes The Criminal Justice faculty has established program learning outcomes, which define what our students will learn and gain from our program.","https://www.claflin.edu","South, US; South Carolina, US; Orangeburg, SC","Postsecondary, tertiary education; Incarceration and justice system involvement; Race and ethnicity"
"Clark Atlanta University","2020","$15000000","Building on its social justice history and heritage, Clark Atlanta University is a culturally diverse, research-intensive, liberal arts institution that prepares and transforms the lives of students. Ignited by its history, CAU is committed to delivering education that is accessible, relevant, and transformative.","https://www.cau.edu","United States; Georgia, US","Livelihoods and workforce development; Postsecondary, tertiary education; Race and ethnicity"
"Clean Slate Initiative","2022","$15000000","We are a bipartisan organization working to pass legislation which automates and expands record clearance for millions of people.","https://cleanslateinitiative.org/","United States","Financial inclusion; Incarceration and justice system involvement; Regrantor"
"Cleveland Metropolitan School District","2022","$20000000","In our pursuit of a more fair, just and good system of education, we want each of our learners, both each of our scholars and each of their educators, to be presented with academically/intellectually complex tasks that are worthy of their productive struggle and allow them authentic opportunities to demonstrate their work and their learning.","https://www.clevelandmetroschools.org/","Ohio, US; Cleveland, OH; Cuyahoga County, OH","Civic and social engagement; Livelihoods and workforce development; Elementary, secondary education; Youth development; Race and ethnicity"
"Climate Justice Resilience Fund","2022","$7000000","To empower women, youth and Indigenous Peoples on the front lines of climate change to create and share their own solutions for resilience","https://www.cjrfund.org/","Global; South Asia; Sub-Saharan Africa","Youth development; Climate change; Environmental justice; Fund; Human rights"
"ClimateWorks Foundation - Drive Electric Campaign","2021","$35000000","Our mission is to end the climate crisis by amplifying the power of philanthropy","https://www.driveelectriccampaign.org/","Global","Climate change; Environmental justice; Regrantor; Philanthropic sector strengthening; Nonprofit sector strengthening"
"Co-Impact","2020","$50000000","Co-Impact is a global philanthropic collaborative focused on improving the lives of millions of people through just and inclusive systems change.","https://www.co-impact.org/","Latin America & Caribbean; South Asia; Sub-Saharan Africa","Livelihoods and workforce development; Early learning; Gender identity; Fund; Access to healthcare"
"Co-Impact Gender Fund","2021","$75000000","Co-Impact is a global philanthropic collaborative focused on improving the lives of millions of people through just and inclusive systems change.","https://www.co-impact.org/","Latin America & Caribbean; South Asia; Sub-Saharan Africa","Livelihoods and workforce development; Early learning; Gender identity; Fund; Access to healthcare"
"Coalition for Humane Immigrant Rights (CHIRLA)","2022","$3000000","CHIRLA's mission is to create a just society fully inclusive of immigrants and to advance the human and civil rights of immigrants and refugees","https://www.chirla.org/","Mexico; United States; California, US","Civic and social engagement; Livelihoods and workforce development; Youth development; Immigration or migration; Race and ethnicity"
"Coastal Bend Food Bank","2020","Disclosure delayed for benefit of recipient","We fight hunger and promote wellness through food distribution and nutrition education.","https://coastalbendfoodbank.org/","Texas, US","Nutrition and food security"
"Coastal Enterprises Inc (CEI)","2020","$10000000","CEI works to build a just, vibrant and climate-resilient future for people and communities in Maine and rural America. We do this by integrating finance, small business expertise and policy solutions in ways that make the economy work more equitably.","https://www.ceimaine.org/","Northeast, US; Maine, US; United States","Agricultural development; Economic development; Financial inclusion; Livelihoods and workforce development; Environmental justice"
"Code for America","2021","Disclosure delayed for benefit of recipient","Code for America's mission is to fight poverty by making government work for and by the people in the digital age.","https://codeforamerica.org/","United States","Democracy; Economic development; Incarceration and justice system involvement; Access to healthcare; Nutrition and food security"
"CoGenerate (formerly known as Encore.org)","2020","$3000000","We bring the generations together to solve problems, bridge divides, and co-create a better future.","https://cogenerate.org/","United States","Cultural awareness; Bridging divides; Civic and social engagement; Aging"
"Cohere","2022","$2500000","At Cohere we want to see a world in which everyone has control over their own future. Especially refugees. To make the most effective and sustainable change within communities we work with refugee-led organisations, who know exactly what's needed to address the challenges their communities face.","https://www.wearecohere.org/","Sub-Saharan Africa","Immigration or migration; Regrantor; Nonprofit sector strengthening"
"Collaborative for Academic, Social, and Emotional Learning (CASEL)","2022","Disclosure delayed for benefit of recipient","CASEL's mission is to help make evidence-based social and emotional learning (SEL) an integral part of education from preschool to high school. We envision all children and adults as self-aware, caring, responsible, engaged, and lifelong learners who work together to achieve their goals and to create a more inclusive, just, and equitable world.","https://casel.org/","United States","Civic and social engagement; Livelihoods and workforce development; Early learning; Elementary, secondary education; Youth development"
"Collaborative for Gender + Reproductive Equity (CGRE)","2021","$25000000","CGRE's mission is to: provide and attract new funding; act boldly and nimbly, and push the envelope; focus on the priorities of those with direct experience of inequity, including low-income women, women of color, and trans and gender expansive people; and respect and support diverse, courageous, and bold leadership.","https://cgre.org/","United States","Civic and social engagement; Gender identity; Race and ethnicity; Fund; Sexual and reproductive health and justice"
"Collage Dance Collective","2021","$3000000","To inspire the growth of ballet.","https://collagedance.org/","South, US; Tennessee, US; Memphis, TN","Creative youth development; Cultural awareness; Performing arts; Race and ethnicity; Active living"
"Collective Future Fund","2020","Disclosure delayed for benefit of recipient","The Collective Future Fund (CFF) brings together social justice movements, survivors, and donors to heal, resource, and mobilize towards a future free from all forms of patriarchal violence.","https://www.collectivefuturefund.org/","United States","Gender identity; Race and ethnicity; Sexual orientation; Fund; Sexual and gender-based violence"
"College Access: Research & Action","2022","Disclosure delayed for benefit of recipient","CARA's mission is to ensure that first-generation college students, low-income students, and students of color have the knowledge and support necessary to enroll in and persist through college. Our programs, research, and policy work confront the gap in post-secondary guidance faced by first-generation college students in New York City and beyond.","https://caranyc.org/","United States; New York, NY","Postsecondary, tertiary education; Youth development"
"College of the Desert","2021","$18000000","College of the Desert provides excellent educational programs in basic skills, career and technical education, certificate, transfer preparation, associate degrees, noncredit and distance education. Our programs and services contribute to the success, learning and achievement of our diverse students and the vitality of the Desert Community College District, surrounding areas and beyond.","https://www.collegeofthedesert.edu","California, US","Livelihoods and workforce development; Postsecondary, tertiary education; Race and ethnicity"
"College Track","2020","Disclosure delayed for benefit of recipient","Equip students confronting systemic barriers to earn a bachelor’s degree in pursuit of a life of opportunity, choice, and power.","https://collegetrack.org/","United States","Livelihoods and workforce development; Postsecondary, tertiary education"
"Collegiate Academies","2022","Disclosure delayed for benefit of recipient","Collegiate Academies builds world-class public schools that prepare all students for college success and lives of unlimited opportunity.","https://www.collegiateacademies.org/","Louisiana, US; Baton Rouge, LA; New Orleans, LA","Elementary, secondary education; Postsecondary, tertiary education; Vocational education"
"Columbia Urban League","2022","$1500000","Empowering disadvantaged and undeserved African Americans and others in becoming productive citizens and contributing members of society","https://www.culsc.org","South Carolina, US; Richland County, SC","Economic development; Youth development; Race and ethnicity; Access to healthcare"
"Columbus Area Habitat for Humanity","2022","$1250000","Seeking to put God's love into action, Habitat for Humanity brings people together to build homes, communities and hope.","https://www.columbusareahabitat.com/","Georgia, US; Columbus, GA; Talbotton, GA","Bridging divides; Access to housing and housing development; Aging; Nonprofit sector strengthening"
"Columbus Urban League","2022","$6600000","To empower African Americans and disenfranchised groups through economic, educational and social progress","https://www.cul.org/","Ohio, US; Columbus, OH","Access to housing and housing development; Economic development; Youth development; Incarceration and justice system involvement; Race and ethnicity"
"Common Cause Education Fund","2020","Disclosure delayed for benefit of recipient","The Common Cause Education Fund seeks, through research, public education and innovative programs, to: increase public understanding of the democratic process and, where appropriate, the need for change; empower citizens and promote effective participation in all aspects of the democratic process at the local, state and federal level; and empower citizens to hold government accountable.","https://www.commoncause.org/education-fund/","United States","Democracy"
"Common Counsel Foundation","2021","$5000000","Common Counsel Foundation is a public foundation; a national social justice formation, not defined or contained by geographic bounds. We advise, provide fiscal sponsorships and build operational capacity for movement organizations, and are home to multi-funder collaborative initiatives.","https://www.commoncounsel.org/","United States","Democracy; Financial inclusion; Environmental justice; Fund; Nonprofit sector strengthening"
"Common Future","2021","Disclosure delayed for benefit of recipient","Advocate for power, choice, and ownership in communities to build more equitable and inclusive economies; addressing economic inequality, which means directly addressing how systemic injustice affects people and communities in terms of race, gender, geography, and beyond.","https://www.commonfuture.co/","United States","Race and ethnicity; Nonprofit sector strengthening"
"Common Justice","2022","$6000000","Common Justice develops and advances solutions to violence that transform the lives of those harmed and foster racial equity without relying on incarceration. Rigorous and hopeful, we build practical strategies to hold people accountable for harm, break cycles of violence, and secure safety, healing, and justice for survivors and their communities.","https://www.commonjustice.org/","New York, NY","Incarceration and justice system involvement; Race and ethnicity"
"Communities for Just Schools Fund","2022","$10000000","Communities for Just Schools Fund brings together the resources of philanthropy with the power of grassroots organizing to ensure that schools welcome all students and nurture their full potential.","https://www.cjsfund.org/","Canada; United States; Puerto Rico, US","Elementary, secondary education; Gender identity; Race and ethnicity; Fund; Philanthropic sector strengthening"
"Communities In Schools - Bay Area","2021","$2000000","We surround students with a community of support empowering them to stay in school and achieve in life.","https://www.cisba.org/","Texas, US; Galveston, TX; Houston, TX","Youth development; Race and ethnicity; Child development and welfare; Mental and behavioral health"
"Communities In Schools (CIS)","2021","$20000000","At Communities In Schools (CIS), we surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.communitiesinschools.org/","United States","Economic development; Elementary, secondary education; Youth development; Race and ethnicity; Mental and behavioral health"
"Communities In Schools of Appalachian Highlands (formerly Communities In Schools of Southwest Virginia)","2022","$800000","To surround students with a community of support, empowering them to stay in school and achieve in life.","https://cisofswva.org/","Tennessee, US; Virginia, US","Elementary, secondary education; Youth development"
"Communities In Schools of Atlanta","2021","$4000000","Communities In Schools of Atlanta's mission is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.cisatlanta.org/","Atlanta, GA; DeKalb County, GA; Fulton County, GA","Access to housing and housing development; Elementary, secondary education; Postsecondary, tertiary education; Youth development; Race and ethnicity"
"Communities In Schools of Benton-Franklin","2022","$2000000","Our mission is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://bentonfranklin.ciswa.org/","Washington, US; Benton County, WA; Franklin County, WA","Creative youth development; Youth development; Child development and welfare; Mental and behavioral health"
"Communities In Schools of Cape Fear","2022","$1500000","To surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.ciscapefear.org/","South, US; North Carolina, US; New Hanover County, NC; Pender County, NC","Early learning; Elementary, secondary education; Youth development"
"Communities In Schools of Central Texas","2022","$7000000","Communities In Schools of Central Texas surrounds students with a community of support, empowering them to stay in school and achieve in life.","https://ciscentraltexas.org/","Austin, TX; Hays County, TX; Travis County, TX","Elementary, secondary education; Youth development; Race and ethnicity; Mental and behavioral health; Nutrition and food security"
"Communities In Schools of Charlotte-Mecklenburg","2021","$5000000","At Communities In Schools® (CIS®), we surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.cischarlotte.org/","South, US; North Carolina, US; Charlotte, NC","Bridging divides; Elementary, secondary education"
"Communities In Schools of Chicago","2021","$4000000","Communities In Schools of Chicago is a leading non-profit dedicated to removing barriers so that students unlock their potential and stay on the path to graduation. We surround students with a community of support empowering them to stay in school and achieve in life.","https://www.cisofchicago.org/","Chicago, IL","Elementary, secondary education; Youth development; Race and ethnicity; Mental and behavioral health"
"Communities In Schools of East Texas","2021","$1000000","At Communities In Schools (CIS), we surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.cisetx.org/","Conroe, TX; Longview, TX; Marshall, TX","Early learning; Elementary, secondary education; Youth development; Nonprofit sector strengthening"
"Communities In Schools of Eastern Pennsylvania","2021","$3300000","The mission of Communities In Schools is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.ciseasternpa.org/","Berks County, PA; Lehigh County, PA; Northampton County, PA","Elementary, secondary education; Postsecondary, tertiary education; Youth development; Mental and behavioral health"
"Communities In Schools of Georgia","2022","$3300000","The ""Mission of Communities In Schools is to surround students with a community of support, empowering them to stay in school and achieve in life."" Our mission aligns with one of the top three causes Americans care about: children's education. And our impacts on children's health, wellbeing, productivity, and success in life.","https://cisga.org/","Georgia, US","Youth development; Race and ethnicity; Regrantor; Nonprofit sector strengthening"
"Communities In Schools of Greater Tarrant County","2021","$4000000","To surround students with a community of support, empowering them to stay in school and achieve in life","https://www.cistarrant.org/","Fort Worth, TX; Tarrant County, TX","Elementary, secondary education; Youth development; Race and ethnicity; Mental and behavioral health"
"Communities In Schools of Hampton Roads","2021","$800000","To surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.cisofhamptonroads.org/","Virginia, US; Portsmouth, VA","Elementary, secondary education; Youth development; Philanthropic sector strengthening; Nonprofit sector strengthening"
"Communities In Schools of Houston","2021","$13000000","The mission of Communities In Schools of Houston is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.cishouston.org/","Fort Bend County, TX; Harris County, TX; Houston, TX","Livelihoods and workforce development; Youth development; Race and ethnicity; Child development and welfare; Mental and behavioral health"
"Communities In Schools of Indiana","2022","$800000","To surround students with a community of support, empowering them to stay in school and achieve in life","https://cisindiana.org/","Indiana, US","Livelihoods and workforce development; Elementary, secondary education; Postsecondary, tertiary education; Youth development; Child development and welfare"
"Communities In Schools of Los Angeles","2021","$2250000","The mission of Communities In Schools of Los Angeles (CISLA) is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.cislosangeles.org/","Los Angeles, CA","Elementary, secondary education; Youth development; Immigration or migration; Race and ethnicity; Child development and welfare"
"Communities In Schools of Memphis","2022","Disclosure delayed for benefit of recipient","Our mission is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.cismemphis.org/","Memphis, TN","Elementary, secondary education"
"Communities In Schools of Michigan","2021","$2250000","CIS of Michigan surrounds students with a community of support empowering them to stay in school and succeed in life","https://cismichigan.org/","Michigan, US","Elementary, secondary education; Race and ethnicity; Mental and behavioral health; Human rights; Nonprofit sector strengthening"
"Communities In Schools of Mid-America","2021","$4000000","Surrounding students with a community of support empowering them to stay in school and achieve in life.","https://cismidamerica.org/","Midwest, US; Kansas, US; Missouri, US","Early learning; Elementary, secondary education; Postsecondary, tertiary education; Youth development; Nutrition and food security"
"Communities In Schools of Nevada","2021","$5000000","Communities In Schools of Nevada does whatever it takes to keep students in school. Every child has potential; regardless of race, zip code or socioeconomic background - but may lack the opportunity to succeed. Our site coordinators build relationships with students and remove the barriers they face to graduate.","https://www.cisnevada.org/","Nevada, US; Las Vegas, NV; Reno, NV","Bridging divides; Livelihoods and workforce development; Elementary, secondary education; Youth development; Mental and behavioral health"
"Communities In Schools of North Carolina","2022","$3300000","At Communities In Schools of North Carolina we surround students with a community of support, empowering them to stay in school and achieve in life.","https://cisnc.org/","North Carolina, US","Economic development; Elementary, secondary education; Incarceration and justice system involvement; Race and ethnicity; Mental and behavioral health"
"Communities In Schools of North Texas","2022","$3300000","To surround students with a community of support empowering them to stay in school and achieve in life.","https://cisnt.org/","Cooke County, TX; Denton County, TX; Wise County, TX","Elementary, secondary education; Youth development; Mental and behavioral health; Nutrition and food security"
"Communities In Schools of Northwest Michigan","2021","Disclosure delayed for benefit of recipient","Communities In Schools surrounds students with a community of support, empowering them to stay in school and achieve in life.","https://cisnwmi.org/","Michigan, US; United States","Creative youth development; Youth development; Child development and welfare; Nutrition and food security; Humanitarian assistance and relief"
"Communities In Schools of NOVA","2022","$800000","To surround students with a community of support, empowering them to stay in school and achieve in life.","https://cisofnova.org/","Alexandria City, VA; Arlington County, VA; Fairfax County, VA","Livelihoods and workforce development; Elementary, secondary education; Youth development; Immigration or migration; Race and ethnicity"
"Communities In Schools of Ohio","2022","$2000000","The mission of Communities In Schools is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.ciskids.org/","Ohio, US","Bridging divides; Elementary, secondary education; Youth development; Race and ethnicity"
"Communities In Schools of Palm Beach County","2022","$800000","Communities In Schools surrounds students with a community of support, empowering them to stay in school and achieve in life.","https://www.cispalmbeach.org/","Florida, US; Palm Beach County, FL","Creative youth development; Bridging divides; Elementary, secondary education; Youth development; Immigration or migration"
"Communities In Schools of Peninsula","2021","$800000","Communities In Schools of Peninsula's mission statement is to surround students with a community of support, empowering them to succeed in school and achieve in life.","https://peninsula.ciswa.org/","Kitsap County, WA; Pierce County, WA","Financial inclusion; Elementary, secondary education; Youth development; Child development and welfare; Nutrition and food security"
"Communities In Schools of Pennsylvania","2022","$1500000","The mission of Communities In Schools of Pennsylvania is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.cisofpa.org/","Pennsylvania, US","Elementary, secondary education; Youth development; Child development and welfare; Mental and behavioral health"
"Communities In Schools of Renton-Tukwila","2022","$800000","The mission of CIS is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://rentontukwila.ciswa.org/","Washington, US; King County, WA","Youth development"
"Communities In Schools of San Antonio","2021","$7000000","Surround students with a community of support empowering them to stay in school and achieve in life.","https://www.cissa.org/","Bexar County, TX; San Antonio, TX; Uvalde, TX","Elementary, secondary education; Postsecondary, tertiary education; Youth development; Mental and behavioral health; Nutrition and food security"
"Communities In Schools of South Carolina","2021","$2500000","We surround students with a community of support, empowering them to stay in school and achieve in life.","https://cisofsc.org/","South Carolina, US","Elementary, secondary education; Youth development"
